"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","311","TC-AREA-11, проверка обработки отрицательного значения","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","736","TC-AREA-06, проверка query параметра locale=EN","hh-live","2026-09-09","failed","2026-09-09","","","",""
"","250","TC-AREA-04, проверка недопустимого http метода","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","698","TC-AREA-03, проверка работы query параметра locale=EN","hh-live","2026-09-09","failed","2026-09-09","","","",""
"","159","TC-AREA-14, проверка обработки строкового значения","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","167","TC-VAC-03","hh-vacancies-mocked","2026-09-09","passed","2026-09-09","","","",""
"","426","TC-VAC-01","hh-vacancies-mocked","2026-09-09","passed","2026-09-09","","","",""
"","170","TC-AREA-08, проверка связи ""ребенок- родитель""","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","162","TC-AREA-12, проверка обработки дробного значения","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","1800","TC-VAC-04","hh-vacancies-mocked","2026-09-09","passed","2026-09-09","","","",""
"","255","TC-DICT-04, проверка работы query параметра locale=EN","hh-live","2026-09-09","failed","2026-09-09","","","",""
"","240","TC-VAC-02","hh-vacancies-mocked","2026-09-09","passed","2026-09-09","","","",""
"","168","TC-AREA-13, проверка обработки числа int32+1","hh-live","2026-09-09","failed","2026-09-09","","","",""
"","814","TC-HEAD-01, Валидация обязательности заголовка user-agent","hh-live","2026-09-09","failed","2026-09-09","","","",""
"","217","TC-AREA-07, запрос конечного узла без дочерних элементов","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","171","TC-DICT-01_03, Проверка статус кода и времени ответа","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","700","TC-AREA-10, проверка обработки нулевого значения area_id","hh-live","2026-09-09","failed","2026-09-09","","","",""
"","236","TC-DICT-05,Проверка недопустимого HTTP метода","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","220","TC-AREA-09, запрос невалидного id (заведомо несуществующий)","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","370","TC-AREA-05, проверка статус кода и времени ответа","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","307","TC-AREA-15, проверка обработки небуквенно числовых спецсимволов","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","213","TC-DICT-06, проверка невалидного query параметра locale с цифровым значением","hh-live","2026-09-09","passed","2026-09-09","","","",""
"","742","TC-AREA-01, Проверка статус кода и времени ответа","hh-live","2026-09-09","passed","2026-09-09","","","",""
